id,0-4_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,5-9_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,ASIAN_FEMALE_rate,ASIAN_MALE_rate,Amish,Area in square miles - Land area,Area in square miles - Total area,Area in square miles - Water area,BLACK_FEMALE_rate,BLACK_MALE_rate,BLACK_rate,Buddhist,Catholic,Christian Generic,Deep_Pov_All,Deep_Pov_Children,Democrat,Density per square mile of land area - Housing units,Density per square mile of land area - Population,Eastern Orthodox,HAWAIIAN_PACIFIC_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_rate,Hindu,Housing units,Jewish,MULTI_FEMALE_rate,MULTI_MALE_rate,MULTI_rate,Mainline Christian,MedHHInc2014,Mormon,Muslim,NATIVE_AMERICAN_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_rate,Non-Catholic Christian,Other,Other Christian,Other Misc,POP_ESTIMATE_2015,Pentecostal Charismatic,PerCapitaInc,"Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2010-2014","Percent of adults with a bachelor's degree or higher, 2011-2015","Percent of adults with a high school diploma only, 2010-2014","Percent of adults with a high school diploma only, 2011-2015","Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with less than a high school diploma, 2011-2015",Population,PovertyAllAgesPct2014,PovertyUnder18Pct2014,Protestant Denomination,TOT_FEMALE_rate,TOT_MALE_rate,Unemployment_rate_2015,WHITE_FEMALE_rate,WHITE_MALE_rate,WHITE_rate,Zoroastrian,age_total_pop,voter_turnout_rate,votes
1001,0.058377148,0.067447197,0.070012828,0.063978174,0.06101505,0.062297866,0.062478544,0.072361646,0.070518727,0.067447197,0.074529785,0.066128245,0.053011003,0.047265434,0.037617215,0.027860589,0.018176234,0.012195783,0.007010317,0.00498672,0,594.44,604.39,9.95,0.101197897,0.090393337,0,0,64,628,5.925573914,10.18616833,0,37.2,91.8,0,0.00041556,0.00057817,0,0,22135,0,0.008889371,0.009033913,0,133,54366,15,0,0.002637903,0.002186207,0,337,15,4,38,55347,113,24644,30.72337372,0,21.94132421,0,33.50260812,0,13.83269395,0,0,13.1,18.1,1,0.51475238,0.48524762,5.2,0.394601333,0.378069272,0,0,55347,0.445570672,0
1003,0.055279835,0.061087139,0.060552062,0.054852756,0.056237083,0.05710597,0.0598059,0.063885248,0.06491613,0.061087139,0.071224148,0.071415598,0.067969506,0.064989765,0.050886313,0.034441286,0.021776161,0.019660398,0.005178956,0.004182437,0,1589.78,2027.31,437.53,0.04886382,0.046522245,0,0,154,446,5.876926992,8.716452742,0,65.5,114.6,1,0.000323992,0.000279811,0,0,104061,0,0.008566141,0.008031064,0,137,49626,5,0,0.003755357,0.003632633,0,206,8,10,34,203709,55,26851,31.59371787,0,28.62449068,0,28.81508551,0,10.96670594,0,0,13,19.8,2,0.512608672,0.487391328,5.5,0.445920406,0.424743138,0,0,203709,0.461884355,0
1005,0.055683491,0.061950243,0.053078636,0.066782438,0.071161614,0.071576881,0.061685983,0.064517347,0.064819359,0.061950243,0.070255578,0.064290838,0.062629771,0.060553437,0.044018272,0.030012458,0.019593039,0.017441202,0.002302843,0.002151837,0,884.88,904.52,19.64,0.22311148,0.253992223,0,0,41,519,12.40553376,24.23618263,0,13.4,31,0,0.00075503,0.001094794,0,0,11829,0,0.004190419,0.00547397,0,172,34971,9,0,0.002378346,0.003397637,0,276,9,0,33,26489,35,17350,27.51645785,0,13.60692291,0,33.44659163,0,25.43002761,0,0,25.4,38.1,1,0.465891502,0.534108498,8.9,0.233153384,0.267998037,0,0,26489,0.392238288,0
1007,0.053668689,0.056502679,0.059735199,0.064074746,0.07430368,0.070406943,0.068060045,0.072045344,0.073373777,0.056502679,0.076252048,0.06584599,0.057609706,0.052295975,0.037328964,0.028649869,0.016693973,0.015232697,0.001461276,0.000841341,0,622.58,626.17,3.59,0.084134083,0.138024177,0,0,0,498,5.890995261,6.770940523,0,14.4,36.8,0,0.000221405,0.001151309,0,0,8981,0,0.004782358,0.00442811,0,65,39546,0,0,0.002258336,0.001992649,0,389,0,0,12,22583,30,18110,27.59676082,0,10.24038768,0,40.06248804,0,22.10036345,0,0,18.1,26.8,1,0.461099057,0.538900943,6.6,0.368241598,0.392463357,0,0,22583,0.387371031,0
1009,0.058797011,0.063894717,0.063912056,0.058762332,0.057375202,0.058692976,0.061241829,0.0658367,0.068957745,0.063894717,0.070691658,0.066582283,0.063010421,0.059906715,0.045914033,0.032354828,0.020564215,0.016558875,0.001716574,0.001127044,0,644.78,650.63,5.85,0.008461498,0.010334125,0,0,165,563,7.187779199,13.50388836,0,37,88.9,0,0.000416139,0.000693565,0,0,23887,0,0.007594542,0.00540981,0,73,45567,5,0,0.003519845,0.00301701,0,431,5,1,17,57673,39,20501,31.30441463,0,12.26313633,0,34.49503226,0,21.93741678,0,0,17.5,24.1,0,0.505921315,0.494078685,5.4,0.484212717,0.47349713,0,0,57673,0.440136632,0
1011,0.058994016,0.064697083,0.0539454,0.067595363,0.073204936,0.073672401,0.06329469,0.070774121,0.062172775,0.064697083,0.071802543,0.072643979,0.063668661,0.050486163,0.037490651,0.02842184,0.018605086,0.017857143,0.001215408,0.001121915,0,622.8,625.14,2.34,0.335172027,0.364435303,0,0,8,567,11.29715355,21.32805629,1,7.2,17.5,0,0.003178758,0.003833209,0,0,4493,0,0.004581152,0.006357517,0,281,26580,0,0,0.004581152,0.003833209,0,261,4,0,23,10696,3,17706,19.12673349,0,14.08760126,0,32.30811479,0,34.47755046,0,0,35.1,43.1,3,0.452412117,0.547587883,7.8,0.10368362,0.168006731,0,0,10696,0.439510097,0
1013,0.060633125,0.066239952,0.065545301,0.059194205,0.057209487,0.059392676,0.060831597,0.056365982,0.056018656,0.066239952,0.065892627,0.071946016,0.071747544,0.057407959,0.041133274,0.034137144,0.023320433,0.027786047,0.005110648,0.00481294,0,776.83,777.88,1.05,0.244169892,0.198620621,0,0,7,571,9.308194774,17.28991597,0,12.8,27,0,0.000198472,0.000297708,0,0,9964,0,0.004068671,0.003671728,0,129,32512,4,0,0.001835864,0.00168701,0,356,11,36,33,20154,20,18115,25.1264155,0,14.32234171,0,37.13410726,0,23.41713553,0,0,25,36.7,1,0.535030267,0.464969733,7.5,0.27964672,0.255879726,0,0,20154,0.430931825,0
1015,0.057792769,0.060759384,0.066683965,0.068854869,0.06911434,0.060802629,0.060681543,0.060119357,0.062290261,0.060759384,0.069477599,0.072227988,0.065827711,0.056408926,0.040131465,0.028662861,0.020653866,0.01760941,0.005076976,0.003779623,0,605.87,612.29,6.42,0.113942225,0.097837744,0,0,54,672,9.303588477,14.92670788,0,88,195.7,0,0.000423802,0.000518941,0,0,53289,0,0.008787407,0.008683619,0,104,41123,9,2,0.002413077,0.002871476,0,417,13,3,85,115620,58,21306,30.76131033,0,16.90543684,0,32.40876098,0,19.92449185,0,0,20.5,28.1,3,0.517773742,0.482226258,7,0.387130254,0.368534856,0,0,115620,0.409756098,0
1017,0.060369839,0.058113296,0.058963163,0.063974445,0.062538464,0.055094804,0.055563696,0.060692202,0.065791402,0.058113296,0.072561029,0.074114234,0.069425314,0.062919439,0.046859889,0.032294933,0.022330979,0.022096533,0.003839053,0.005656009,0,596.53,603.11,6.58,0.212056384,0.185446766,0,0,14,636,11.79983954,24.31098313,0,28.5,57.4,0,0.000146529,0.000439586,0,0,17004,0,0.005568092,0.005421563,0,146,34116,6,0,0.00137737,0.001318759,0,431,6,19,15,34123,22,21240,27.95012804,0,12.22030981,0,37.29902187,0,22.53054028,0,0,21.3,31.6,0,0.521144096,0.478855904,6,0.298156669,0.28057322,0,0,34123,0.40377458,0
1019,0.049035152,0.054603813,0.058548281,0.055261224,0.05019529,0.046134808,0.052206195,0.063923586,0.068022739,0.054603813,0.074403496,0.080126842,0.073475386,0.077690553,0.058354925,0.039638037,0.02308674,0.01693801,0.001817549,0.000966781,0,553.7,599.98,46.28,0.023550795,0.023744151,0,0,0,479,6.026453784,9.399075501,0,29.4,46.9,0,0.000116014,0.000154685,0,0,16267,0,0.009049074,0.008236977,0,68,38013,0,0,0.002590974,0.003325728,0,385,0,0,7,25859,17,22234,29.88407955,0,13.7349782,0,35.87684781,0,20.50409444,0,0,18.6,27.9,0,0.503499749,0.496500251,5.4,0.466375343,0.460071929,0,0,25859,0.406164198,0
1021,0.063946476,0.067997178,0.061875612,0.060965341,0.062080422,0.060669504,0.065311881,0.065721503,0.064356098,0.067997178,0.069066746,0.069658421,0.062353503,0.053432856,0.039960858,0.027649455,0.018250916,0.016157295,0.002571513,0.00182054,0,692.85,700.8,7.95,0.054115559,0.051134424,0,0,32,676,8.392238392,14.49165402,0,27.8,63,0,0.000614432,0.001206108,0,0,19278,0,0.006576702,0.006462918,0,56,41450,5,0,0.002230162,0.002685297,0,505,5,2,44,43943,65,21718,24.00911782,0,13.53383459,0,39.98571088,0,22.47133671,0,0,18.1,27.6,2,0.508545161,0.491454839,5.7,0.442436793,0.428145552,0,0,43943,0.415424527,0
1023,0.049582384,0.053986333,0.061503417,0.056567957,0.048595292,0.051860289,0.053606682,0.059605163,0.065527715,0.053986333,0.076006074,0.078511769,0.071222475,0.066287016,0.057327259,0.038496583,0.027182992,0.023538345,0.000987092,0.000683371,0,913.5,920.86,7.36,0.230372058,0.191799544,0,0,8,685,6.175149701,10.34364261,0,8,15.2,0,7.59E-05,7.59E-05,0,0,7269,0,0.002581625,0.002581625,0,203,35049,11,0,0.000835232,0.000987092,0,340,11,0,27,13170,110,21268,26.06649937,0,12.77708072,0,35.21539105,0,25.94102886,0,0,25,31.9,3,0.525284738,0.474715262,9.1,0.290432802,0.278587699,0,0,13170,0.551860289,0
